latein_normalisiert,eintraege,tox_werte,edible_werte,spanne_tox,gewinnt_heute,ids,namen,toxische_eintraege_warning
"pulsatilla vulgaris",2,"2/3","nein",1,"W456 Kuhschelle (tox 3)","P225 W456","Küchenschelle [tox 2] | Kuhschelle [tox 3]","P225: GIFTIG und GESCHÜTZT! | W456: Giftig! Protoanemonin – Alle Teile"
"saponaria officinalis",2,"1/2","nein",1,"W112 Seifenkraut (tox 2)","P250 W112","Gemeines Seifenkraut [tox 1] | Seifenkraut [tox 2]","W112: Giftig in grossen Mengen (Saponine)"
"rhamnus cathartica",2,"2/3","nein",1,"BA134 Purgierstrauch (tox 3)","T141 BA134","Echter Kreuzdorn [tox 2] | Purgierstrauch [tox 3]","T141: STARK abführend! | BA134: GIFTIG: Beeren stark abführend, giftig"
"hypholoma fasciculare",2,"2/3","nein",1,"F265 Grünblättriger Schwefelkopf (tox 3)","F095 F265","Schwefelkopf [tox 2] | Grünblättriger Schwefelkopf [tox 3]","F095: GIFTIG | F265: GIFTIG! Grüngelbe Lamellen = sicheres Zeichen. Immer grüngelbe Lamellen prüfen v"
"tricholoma pardinum",2,"3/4","nein",1,"PI311 Tigerritterling (tox 4)","F124 PI311","Tiger-Ritterling [tox 3] | Tigerritterling [tox 4]","F124: GIFTIG | PI311: Giftig: schwere Magen-Darm-Beschwerden"
"hebeloma crustuliniforme",2,"2/3","nein",1,"PI520 Echter Rettich-Fälbling (tox 3)","F127 PI520","Rettichfälbling [tox 2] | Echter Rettich-Fälbling [tox 3]","F127: GIFTIG | PI520: Giftig! Rettich-ähnlicher Geruch"
"boletus calopus",2,"1/2","nein",1,"F146 Echter Blaupunkt-Röhrling (tox 2)","F146 F292","Echter Blaupunkt-Röhrling [tox 2] | Dickfuss-Röhrling [tox 1]","F146: GIFTIG – bitter, magen-darmgiftig"
"tapinella atrotomentosa",2,"1/2","nein",1,"PI230 Glatter Krempling (tox 2)","F157 PI230","Echter Weicher Krempling [tox 1] | Glatter Krempling [tox 2]","PI230: Giftig: Atromentin"
"tapinella panuoides",2,"1/2","nein",1,"PI318 Samtfuss-Krempling (tox 2)","F166 PI318","Echter Schönfuss [tox 1] | Samtfuss-Krempling [tox 2]","PI318: Giftig: Muskelkrämpfe"
"macrolepiota rhacodes",2,"0/1","ja",1,"F252 Safran-Schirmpilz (tox 1)","F167 F252","Echter Riesen-Schirmling [tox 0, essbar] | Safran-Schirmpilz [tox 1, essbar]",""
"ramaria stricta",2,"0/1","nein",1,"F171 Echter Ziegenbart (tox 1)","F171 PI367","Echter Ziegenbart [tox 1] | Echter Korallenpilz [tox 0]",""
"lepiota cristata",2,"3/4","nein",1,"PI333 Grosser Schirmling (Brauner) (tox 4)","F172 PI333","Echter Gemeinwiesenschirmling [tox 3] | Grosser Schirmling (Brauner) [tox 4]","F172: GIFTIG | PI333: Giftig! Amatoxine in kleinen Schirmlingen!"
"melilotus albus",2,"0/1","ja/nein",1,"HP116 Echter Weisser Steinklee (tox 1)","HP116 W106","Echter Weisser Steinklee [tox 1, essbar] | Weisser Steinklee [tox 0]",""
"cannabis sativa",2,"0/1","nein",1,"HP135 Echter Hanf (CBD) (tox 1)","HP135 K324","Echter Hanf (CBD) [tox 1] | Echter Hanf [tox 0]",""
"thuja occidentalis",2,"1/2","nein",1,"BA015 Lebensbaum (tox 2)","BA015 BA282","Lebensbaum [tox 2] | Gewöhnlicher Lebensbaum [tox 1]","BA015: Alle Teile giftig!"
"delphinium elatum",2,"3/4","nein",1,"W710 Garten-Rittersporn (tox 4)","K103 W710","Echter Lärm-Rittersporn [tox 3] | Garten-Rittersporn [tox 4]","K103: Giftig! Delphinin-Alkaloide | W710: GIFTIG! Diterpen-Alkaloide"
"prunus laurocerasus",2,"3/4","nein",1,"BA399 Echter Kirschlorbeer (tox 4)","BA101 BA399","Kirschlorbeer [tox 3] | Echter Kirschlorbeer [tox 4]","BA101: 🚫 VERKAUFSVERBOT (FrSV 2024, Anhang 2.2): Kauf/Verkauf verboten. Privatgärten b | BA399: 🚫 VERKAUFSVERBOT (FrSV 2024, Anhang 2.2): Kauf/Verkauf verboten. Privatgärten b"
"calystegia sepium",2,"1/2","nein",1,"W729 Zaunwinde (tox 2)","W205 W729","Zaun-Winde [tox 1] | Zaunwinde [tox 2]","W729: Schwach giftig: Convolvulin"
"linaria vulgaris",2,"1/2","nein",1,"W706 Gemeines Leinkraut (tox 2)","W260 W706","Gewöhnliches Leinkraut [tox 1] | Gemeines Leinkraut [tox 2]","W706: Schwach giftig: Linariin"
"euphorbia esula",2,"2/3","nein",1,"W670 Scharfe Wolfsmilch (tox 3)","W300 W670","Wiesenwolfsmilch [tox 2] | Scharfe Wolfsmilch [tox 3]","W300: Giftig! Milchsaft – Haut und Augen reizen | W670: Giftig! Milchsaft ätzend"
"anthemis cotula",2,"1/2","nein",1,"W811 Hundsparille (tox 2)","W323 W811","Stinkende Hundskamille [tox 1] | Hundsparille [tox 2]","W811: Hautreizend, schwach giftig"
"lepiota clypeolaria",2,"3/4","nein",1,"PI345 Pilularis-Schirmling (tox 4)","PI116 PI345","Samtiger Schirmling [tox 3] | Pilularis-Schirmling [tox 4]","PI116: Giftig! Lepiota-Arten sind gefährlich | PI345: Giftig! Amatoxine"
"cotinus coggygria",2,"0/1","nein",1,"BA131 Lorbeersumach (tox 1)","BA131 BA394","Lorbeersumach [tox 1] | Echter Perückenstrauch [tox 0]",""
"berberis thunbergii",2,"0/1","nein",1,"BA410 Echter Berberitzenstrauch (tox 1)","BA208 BA410","Stachelschwein-Berberitze [tox 0] | Echter Berberitzenstrauch [tox 1]",""
"brassica oleracea",7,"0","ja/nein",0,"G023 Broccoli (tox 0)","G023 G024 G025 G026 G027 G036 FD0778","Broccoli [tox 0, essbar] | Blumenkohl [tox 0, essbar] | Rosenkohl [tox 0, essbar] | Weisskohl [tox 0, essbar] | Kohlrabi [tox 0, essbar] | Wirz (Wirsing) [tox 0, essbar] | Kohl [tox 0]",""
"impatiens noli",6,"0","ja/nein",0,"P097 Springkraut (Echtes) (tox 0)","P097 W048 W212 W661 K389 FD0197","Springkraut (Echtes) [tox 0, essbar] | Kleines Springkraut [tox 0, essbar] | Echtes Springkraut [tox 0, essbar] | Grosser Springkraut [tox 0] | Echter Springkraut [tox 0] | Springkraut [tox 0]",""
"leucanthemum vulgare",6,"0","ja/nein",0,"P160 Margerite (Grosse) (tox 0)","P160 P172 P198 W016 W325 W812","Margerite (Grosse) [tox 0, essbar] | Wiesen-Margerite [tox 0, essbar] | Magerwiesen-Margerite [tox 0, essbar] | Margerite [tox 0] | Gemeine Wucherblume [tox 0] | Gemeine Margerite [tox 0]",""
"sanguisorba officinalis",5,"0","ja/nein",0,"P008 Echter Wiesenknopf (tox 0)","P008 HP108 W381 W665 W779","Echter Wiesenknopf [tox 0, essbar] | Echter Wiesenknopf (gr.) [tox 0, essbar] | Wiesenknopf [tox 0] | Grosses Wiesenknopf [tox 0] | Grosser Wiesenknopf [tox 0]",""
"matricaria chamomilla",5,"0","ja/nein",0,"P013 Echte Kamille (tox 0)","P013 H021 H042 P115 W807","Echte Kamille [tox 0] | Echte Kamille (Tee) [tox 0] | Kamille-Tinktur [tox 0] | Kamille (Echte) [tox 0, essbar] | Echter Kamille [tox 0, essbar]",""
"betula pendula",5,"0","ja/nein",0,"T014 Hängebirke (tox 0)","T014 X313 T064 BA143 BA419","Hängebirke [tox 0, essbar] | Hänge-Birke [tox 0, essbar] | Birke (Sand) [tox 0, essbar] | Birke (Hänge) [tox 0] | Echter Hänge-Birke [tox 0]",""
"lavandula angustifolia",5,"0","ja/nein",0,"H007 Lavendel (tox 0)","H007 H038 H056 K057 HP238","Lavendel [tox 0, essbar] | Lavendel-Öl [tox 0] | Lavendel (Echter) [tox 0, essbar] | Echter Lavendel [tox 0] | Lavendel (Topf) [tox 0]",""
"solidago virgaurea",4,"0","ja/nein",0,"P020 Goldrute (tox 0)","P020 H040 HP091 K137","Goldrute [tox 0] | Goldruten-Tee [tox 0] | Echte Goldrute [tox 0, essbar] | Wiesen-Goldenrod [tox 0]",""
"gentiana lutea",4,"0","ja/nein",0,"P040 Echter Gelber Enzian (tox 0)","P040 P215 HP109 W007","Echter Gelber Enzian [tox 0] | Echter Enzian [tox 0, essbar] | Echter Enzian (Kraut) [tox 0, essbar] | Gelber Enzian [tox 0]",""
"alchemilla vulgaris",4,"0","ja/nein",0,"P057 Frauenmantel (tox 0)","P057 H029 P193 W263","Frauenmantel [tox 0, essbar] | Frauenmantel (Tee) [tox 0] | Echter Frauenmantel [tox 0, essbar] | Gewöhnlicher Frauenmantel [tox 0]",""
"ajuga reptans",4,"0","ja/nein",0,"P060 Günsel (tox 0)","P060 P197 K400 W721","Günsel [tox 0, essbar] | Kriechender Günsel [tox 0, essbar] | Echter Günsel [tox 0] | Kriechende Günsel [tox 0]",""
"valeriana officinalis",4,"0","ja/nein",0,"P063 Baldrian (tox 0)","P063 P194 P249 W675","Baldrian [tox 0] | Echter Baldrian [tox 0, essbar] | Echter Baldrian (nochmals) [tox 0, essbar] | Gewöhnlicher Baldrian [tox 0]",""
"salvia pratensis",4,"0","ja/nein",0,"P069 Wiesensalbei (tox 0)","P069 H026 K074 K108","Wiesensalbei [tox 0, essbar] | Wiesensalbei (Wild) [tox 0, essbar] | Wiesen-Salbei [tox 0] | Echter Wiesensalbei [tox 0]",""
"pinus mugo",4,"0","ja/nein",0,"T005 Bergkiefer / Latsche (tox 0)","T005 T085 T135 BA038","Bergkiefer / Latsche [tox 0] | Bergkiefer (Latsche) [tox 0, essbar] | Bergföhre [tox 0, essbar] | Bergkiefer [tox 0]",""
"fagus sylvatica",4,"0","ja/nein",0,"T007 Rotbuche (tox 0)","T007 BA033 BA248 BA249","Rotbuche [tox 0, essbar] | Buche [tox 0] | Rot-Buche [tox 0, essbar] | Rotbuche (Blutbuche) [tox 0, essbar]",""
"sali caprea",4,"0","ja/nein",0,"T033 Salweide (tox 0)","T033 T062 T146 BA239","Salweide [tox 0] | Weide (Sal) [tox 0] | Palmweide [tox 0] | Sal-Weide [tox 0, essbar]",""
"geranium robertianum",4,"0","ja/nein",0,"P128 Blutkraut (tox 0)","P128 W180 K371 K399","Blutkraut [tox 0, essbar] | Stinkender Storchschnabel [tox 0] | Echter Storchschnabel [tox 0] | Echter Storchschnabel (Rotes) [tox 0]",""
"crepis biennis",4,"0","ja/nein",0,"P199 Wiesenpippau (tox 0)","P199 HP141 K097 W557","Wiesenpippau [tox 0, essbar] | Echter Wiesenpippau [tox 0, essbar] | Echter Weisser Pippau [tox 0] | Gewöhnlicher Pippau [tox 0]",""
"myosotis arvensis",4,"0","ja/nein",0,"P244 Gemeines Vergissmeinnicht (tox 0)","P244 K104 W482 W773","Gemeines Vergissmeinnicht [tox 0, essbar] | Echter Vergissmeinnicht [tox 0] | Feld-Vergissmeinnicht [tox 0] | Acker-Vergissmeinnicht [tox 0]",""
"tremella mesenterica",4,"0","ja/nein",0,"F130 Ohrenpilz (gelb) (tox 0)","F130 PI016 PI249 PI298","Ohrenpilz (gelb) [tox 0, essbar] | Gelbe Tremella [tox 0] | Goldenes Judasohr [tox 0] | Gemeiner Gallertzitterling [tox 0]",""
"polypodium vulgare",4,"0","ja/nein",0,"HP114 Echter Tüpfelfarn (tox 0)","HP114 W236 K175 K256","Echter Tüpfelfarn [tox 0, essbar] | Tüpfelfarn [tox 0] | Gemeiner Tüpfelfarn [tox 0] | Gewöhnlicher Tüpfelfarn [tox 0]",""
"beta vulgaris",4,"0","ja/nein",0,"G011 Mangold (tox 0)","G011 G014 K229 FD0720","Mangold [tox 0, essbar] | Randen (Rote Bete) [tox 0, essbar] | Gewöhnlicher Schnittmangold [tox 0, essbar] | Runkelrübe [tox 0]",""
"silene vulgaris",4,"0","ja/nein",0,"W070 Leimkraut (tox 0)","W070 W304 W610 K390","Leimkraut [tox 0] | Taubenkropf [tox 0] | Gewöhnliches Leimkraut [tox 0, essbar] | Echter Taubenkropf [tox 0, essbar]",""
"picea abies",3,"0","ja/nein",0,"T001 Fichte (tox 0)","T001 BA034 BA308","Fichte [tox 0, essbar] | Gewöhnliche Fichte [tox 0] | Hänge-Ast Serbische Fichte [tox 0]",""
"acer campestre",3,"0","ja/nein",0,"T042 Feldahorn (tox 0)","T042 BA333 BA378","Feldahorn [tox 0] | Feld-Ahorn [tox 0, essbar] | Echter Meerbuche (Feldahorn) [tox 0, essbar]",""
"phyteuma spicatum",3,"0","ja/nein",0,"H030 Teufelskralle (tox 0)","H030 W653 W655","Teufelskralle [tox 0, essbar] | Schopf-Teufelskralle [tox 0] | Gewöhnliche Rapunzel [tox 0, essbar]",""
"calluna vulgaris",3,"0","ja/nein",0,"P153 Heidekraut (Calluna) (tox 0)","P153 P234 K134","Heidekraut (Calluna) [tox 0, essbar] | Heidekraut [tox 0, essbar] | Gemeines Heidekraut [tox 0]",""
"monstera deliciosa",3,"2","ja/nein",0,"HP001 Monstera (tox 2)","HP001 HP258 HP385","Monstera [tox 2] | Fensterblatt [tox 2, essbar] | Echter Monstera Thai Constellation [tox 2]","HP001: Blätter giftig für Haustiere (Hunde, Katzen) | HP258: GIFTIG ausser überreife Frucht (Raphidkristalle) | HP385: Giftig! Raphidkristalle"
"echinacea purpurea",3,"0","ja/nein",0,"HP051 Echinacea (tox 0)","HP051 K054 HP231","Echinacea [tox 0, essbar] | Roter Sonnenhut [tox 0] | Sonnenhut (Topf) [tox 0]",""
"melilotus officinalis",3,"0","ja/nein",0,"HP068 Echter Steinklee (tox 0)","HP068 W105 W756","Echter Steinklee [tox 0, essbar] | Steinklee [tox 0] | Echter Steinklee (Gelb) [tox 0, essbar]",""
"lysimachia nummularia",3,"0","ja/nein",0,"HP081 Wiesenpfennigkraut (tox 0)","HP081 HP113 W076","Wiesenpfennigkraut [tox 0, essbar] | Wiesenpfennigkraut (II) [tox 0, essbar] | Pfennigkraut [tox 0]",""
"phragmites australis",3,"0","ja/nein",0,"A036 Schilfrohr (tox 0)","A036 W190 A073","Schilfrohr [tox 0, essbar] | Schilf [tox 0] | Gewöhnlicher Schilf [tox 0]",""
"raphanus raphanistrum",3,"0","ja/nein",0,"W170 Ackerkohl (tox 0)","W170 W573 W574","Ackerkohl [tox 0] | Acker-Rettich [tox 0, essbar] | Gewöhnlicher Hederich [tox 0, essbar]",""
"prunus cerasifera",3,"0","ja/nein",0,"BA082 Zierpflaume (tox 0)","BA082 BA297 BA315","Zierpflaume [tox 0, essbar] | Blut-Pflaume [tox 0] | Zuckerpflaume [tox 0, essbar]",""
"verbascum thapsus",2,"0","ja/nein",0,"P052 Königskerze (Grosse) (tox 0)","P052 W392","Königskerze (Grosse) [tox 0, essbar] | Gewöhnliche Königskerze [tox 0]",""
"abies alba",2,"0","ja/nein",0,"T002 Weisstanne (tox 0)","T002 BA035","Weisstanne [tox 0, essbar] | Weisrtanne [tox 0]",""
"ulmus glabra",2,"0","ja/nein",0,"T043 Berg-Ulme (tox 0)","T043 T057","Berg-Ulme [tox 0] | Ulme (Berg) [tox 0, essbar]",""
"veronica officinalis",2,"0","ja/nein",0,"H028 Ehrenpreis (Tee) (tox 0)","H028 W078","Ehrenpreis (Tee) [tox 0, essbar] | Echter Ehrenpreis [tox 0]",""
"centaurea jacea",2,"0","ja/nein",0,"P156 Wiesenflockenblume (tox 0)","P156 W314","Wiesenflockenblume [tox 0, essbar] | Gewöhnliche Flockenblume [tox 0]",""
"crocus sativus",2,"0","ja/nein",0,"H065 Safran (tox 0)","H065 HP282","Safran [tox 0, essbar] | Krokusse [tox 0]",""
"anthyllis vulneraria",2,"0","ja/nein",0,"P173 Echter Wundklee (tox 0)","P173 W485","Echter Wundklee [tox 0, essbar] | Wundklee [tox 0]",""
"viola tricolor",2,"0","ja/nein",0,"P176 Acker-Stiefmütterchen (tox 0)","P176 W063","Acker-Stiefmütterchen [tox 0, essbar] | Wilde Stiefmütterchen [tox 0]",""
"euphrasia officinalis",2,"0","ja/nein",0,"P196 Echter Augentrost (tox 0)","P196 K193","Echter Augentrost [tox 0, essbar] | Gemeiner Augentrost [tox 0]",""
"stellaria holostea",2,"0","ja/nein",0,"P239 Grosse Sternmiere (tox 0)","P239 W518","Grosse Sternmiere [tox 0, essbar] | Berg-Sternmiere [tox 0]",""
"robinia pseudoacacia",2,"2","ja/nein",0,"T129 Robinie (tox 2)","T129 BA078","Robinie [tox 2] | Gewöhnliche Robinie [tox 2, essbar]","T129: Rinde giftig! | BA078: Rinde, Samen und Wurzeln giftig! Nur Blüten essbar"
"verbena officinalis",2,"0","ja/nein",0,"HP112 Echter Eisenkraut (tox 0)","HP112 K015","Echter Eisenkraut [tox 0, essbar] | Eisenkraut [tox 0]",""
"medicago lupulina",2,"0","ja/nein",0,"HP115 Echter Hopfenklee (tox 0)","HP115 W108","Echter Hopfenklee [tox 0, essbar] | Hopfenklee [tox 0]",""
"hieracium lachenalii",2,"0","ja/nein",0,"HP117 Gemeines Habichtskraut (tox 0)","HP117 W563","Gemeines Habichtskraut [tox 0, essbar] | Steifhaariges Habichtskraut [tox 0]",""
"pimpinella saxifraga",2,"0","ja/nein",0,"HP123 Echter Bibernell (tox 0)","HP123 K069","Echter Bibernell [tox 0, essbar] | Gewöhnliche Bibernelle [tox 0]",""
"schoenoplectus lacustris",2,"0","ja/nein",0,"A037 Teichbinse (tox 0)","A037 W141","Teichbinse [tox 0, essbar] | Echte Sumpfbinse [tox 0]",""
"lactarius vellereus",2,"2","ja/nein",0,"F282 Wolliger Milchling (tox 2)","F282 PI220","Wolliger Milchling [tox 2, essbar] | Samtiger Milchling [tox 2]","F282: ROH STARK SCHARF! Nur nach langer Vorbehandlung. Für viele nicht empfehlenswert. | PI220: Scharf, giftig"
"cucurbita pepo",2,"0","ja/nein",0,"G003 Zucchini (tox 0)","G003 FD0515","Zucchini [tox 0, essbar] | Kürbis [tox 0]",""
"lactuca sativa",2,"0","ja/nein",0,"G009 Kopfsalat (tox 0)","G009 FD1263","Kopfsalat [tox 0, essbar] | Lattich [tox 0]",""
"raphanus sativus",2,"0","ja/nein",0,"G016 Radieschen (tox 0)","G016 FD0810","Radieschen [tox 0, essbar] | Rettich [tox 0]",""
"coffea arabica",2,"0","ja/nein",0,"HP177 Kaffeestrauch (tox 0)","HP177 HP290","Kaffeestrauch [tox 0] | Kaffeepflanze [tox 0, essbar]",""
"silene dioica",2,"0","ja/nein",0,"W302 Rote Lichtnelke (tox 0)","W302 W611","Rote Lichtnelke [tox 0] | Rotes Leimkraut [tox 0, essbar]",""
"plantago media",2,"0","ja/nein",0,"W356 Gräser-Wegerich (tox 0)","W356 W657","Gräser-Wegerich [tox 0] | Mittel-Wegerich [tox 0, essbar]",""
"acer saccharinum",2,"0","ja/nein",0,"BA155 Silberahorn (tox 0)","BA155 BA334","Silberahorn [tox 0] | Silber-Ahorn [tox 0, essbar]",""
"clavariadelphus pistillaris",2,"0","ja/nein",0,"PI423 Buchen-Lederkoralle (tox 0)","PI423 PI_K008","Buchen-Lederkoralle [tox 0] | Herkuleskeule [tox 0, essbar]",""
"prunus mahaleb",2,"0","ja/nein",0,"BA298 Nelken-Kirsche (tox 0)","BA298 BA299","Nelken-Kirsche [tox 0, essbar] | Felsenkirsche [tox 0]",""
